SKU,MSRP,DEFAULT PRICE
S-GLZS4BA1810,$2,156.00,$1,832.60
S-GLZS4BA2410,$2,230.00,$1,895.50
S-GLZS4BA3010,$2,576.00,$2,189.60
S-GLZS4BA3610,$2,955.00,$2,511.75
S-GLZS4BA4210,$3,195.00,$2,715.75
S-GLZS4BA4810,$3,495.00,$2,970.75
S-GLZS4BA6010,$4,090.00,$3,476.50
S-GLXS4BA1810,$1,740.00,$1,479.00
S-GLXS4BA2410,$1,881.00,$1,598.85
S-GLXS4BA3010,$1,963.00,$1,668.55
S-GLXS4BA3610,$2,204.00,$1,873.40
S-GLXS4BA4210,$2,494.00,$2,119.90
S-GLXS4BA4810,$2,697.00,$2,292.45
S-GLXS4BA6010,$3,079.00,$2,617.15
S-AMST24BU13,$1,466.00,$1,246.10
S-AMST30BU13,$1,526.00,$1,297.10
S-AMST36BU13,$1,626.00,$1,382.10
S-AMST42CU13,$1,720.00,$1,462.00
S-AMST48CU13,$1,773.00,$1,507.05
S-AMST60DU13,$2,004.00,$1,703.40
S-AWST18SU1303A,$900.00,$765.00
S-AWST18SU1305A,$908.00,$771.80
S-AWST18SU1308A,$934.00,$793.90
S-AWST24SU1305A,$937.00,$796.45
S-AWST24SU1308A,$959.00,$815.15
S-AWST24SU1310A,$968.00,$822.80
S-AWST30LU1305A,$1,144.00,$972.40
S-AWST30LU1308A,$1,171.00,$995.35
S-AWST30LU1310A,$1,184.00,$1,006.40
S-AWST36LU1305A,$1,092.00,$928.20
S-AWST36LU1308A,$1,116.00,$948.60
S-AWST36LU1310A,$1,127.00,$957.95
S-HKTSN05X1,$101.00,$85.85
S-HKTSN08X1,$125.00,$106.25
S-HKTSN10X1,$135.00,$114.75
S-HKTSD15XA,$279.00,$237.15
S-GR9S800403ANA,$1,100.00,$935.00
S-GR9S800603ANA,$1,174.00,$997.90
S-GR9S800604BNA,$1,207.00,$1,025.95
S-GR9S800804CNA,$1,333.00,$1,133.05
S-GR9S801005CNA,$1,448.00,$1,230.80
S-GR9S920403AN,$1,520.00,$1,292.00
S-GR9S920603BN,$1,620.00,$1,377.00
S-GR9S920803BN,$1,770.00,$1,504.50
S-GR9S920804CN,$1,885.00,$1,602.25
S-GR9S920805CN,$1,974.00,$1,677.90
S-GR9S921004CN,$2,050.00,$1,742.50
S-GR9S921005CN,$2,104.00,$1,788.40
S-GR9S921205DN,$2,217.00,$1,884.45
S-CAPTA2422A3,$704.00,$598.40
S-CAPTA3022A3,$821.00,$697.85
S-CAPTA3626B3,$842.00,$715.70
S-CAPTA4230C3,$896.00,$761.60
S-CAPTA6030C3,$1,020.00,$867.00
S-CHPTA2426B3,$769.00,$653.65
S-CHPTA3026B3,$794.00,$674.90
S-CHPTA3630B3,$832.00,$707.20
S-CHPTA4230C3,$931.00,$791.35
S-CHPTA4830C3,$963.00,$818.55
S-CHPTA6030D3,$987.00,$838.95
S-0230K00044,$185.00,$157.25
S-GLZS4BA1810,AMST24BU13,$3,622.00,$2,897.60
S-GLZS4BA2410,AMST24BU13,$3,696.00,$2,956.80
S-GLZS4BA3010,AMST30BU13,$4,102.00,$3,281.60
S-GLZS4BA3010,AMST30BU13,$4,102.00,$3,281.60
S-GLZS4BA3610,AMST36CU13,$4,581.00,$3,664.80
S-GLZS4BA3610,AMST36CU13,$4,581.00,$3,664.80
S-GLZS4BA4210,AMST42CU13,$4,915.00,$3,932.00
S-GLZS4BA4810,AMST48CU13,$5,268.00,$4,214.40
S-GLZS4BA6010,AMST60CU13,$6,094.00,$4,875.20
S-GLZS4BA1810,AWST18SU1305,$3,064.00,$2,451.20
S-GLZS4BA2410,AWST24SU1305,$3,167.00,$2,533.60
S-GLZS4BA3010,AWST30SU1308,$3,747.00,$2,997.60
S-GLZS4BA3010,AWST30SU1310,$3,760.00,$3,008.00
S-GLZS4BA3610,AWST36SU1308,$4,071.00,$3,256.80
S-GLZS4BA3610,AWST36SU1310,$4,082.00,$3,265.60
S-GLXS4BA1810,AMST24BU13,$3,206.00,$2,564.80
S-GLXS4BA2410,AMST24BU13,$3,347.00,$2,677.60
S-GLXS4BA3010,AMST30BU13,$3,489.00,$2,791.20
S-GLXS4BA3010,AMST30BU13,$3,489.00,$2,791.20
S-GLXS4BA3610,AMST36BU13,$3,830.00,$3,064.00
S-GLXS4BA3610,AMST36BU13,$3,830.00,$3,064.00
S-GLXS4BA4210,AMST42CU13,$4,214.00,$3,371.20
S-GLXS4BA4810,AMST48CU13,$4,470.00,$3,576.00
S-GLXS4BA6010,AMST60DU13,$5,083.00,$4,066.40
S-GLXS4BA1810,AWST18SU1305,$2,648.00,$2,118.40
S-GLXS4BA2410,AWST24SU1305,$2,818.00,$2,254.40
S-GLXS4BA3010,AWST30SU1308,$3,134.00,$2,507.20
S-GLXS4BA3010,AWST30SU1310,$3,147.00,$2,517.60
S-GLXS4BA3610,AWST36SU1308,$3,320.00,$2,656.00
S-GLXS4BA3610,AWST36SU1310,$3,331.00,$2,664.80
S-GLXS4BA1810,GR9S800403ANA,CAPTA2422A3,$3,544.00,$2,835.20
S-GLXS4BA2410,GR9S800403ANA,CAPTA2422A3,$3,685.00,$2,948.00
S-GLXS4BA3010,GR9S800603ANA,CAPTA3022A3,$3,958.00,$3,166.40
S-GLXS4BA3610,GR9S800604BNA,CAPTA3626B3,$4,253.00,$3,402.40
S-GLXS4BA4210,GR9S800804CNA,CAPTA4230C3,$4,723.00,$3,778.40
S-GLXS4BA4810,GR9S800804CNA,CAPTA6030C3,$5,050.00,$4,040.00
S-GLXS4BA6010,GR9S801005CNA,CAPTA6030C3,$5,547.00,$4,437.60
S-GLXS4BA1810,GR9S800403ANA,CHPTA2426B3,$3,609.00,$2,887.20
S-GLXS4BA2410,GR9S800403ANA,CHPTA2426B3,$3,750.00,$3,000.00
S-GLXS4BA3010,GR9S800603ANA,CHPTA3026B3,$3,931.00,$3,144.80
S-GLXS4BA3610,GR9S800604BNA,CHPTA3630B3,$4,243.00,$3,394.40
S-GLXS4BA4210,GR9S800804CNA,CHPTA4230C3,$4,758.00,$3,806.40
S-GLXS4BA4810,GR9S800804CNA,CHPTA4830C3,$4,993.00,$3,994.40
S-GLXS4BA6010,GR9S801005CNA,CHPT6030D3,$5,514.00,$4,411.20
S-GLZS4BA1810,GR9S800403ANA,CAPTA2422A3,$3,960.00,$3,168.00
S-GLZS4BA2410,GR9S800403ANA,CAPTA2422A3,$4,034.00,$3,227.20
S-GLZS4BA3010,GR9S800603ANA,CAPTA3022A3,$4,571.00,$3,656.80
S-GLZS4BA3610,GR9S800604BNA,CAPTA3626B3,$5,004.00,$4,003.20
S-GLZS4BA4210,GR9S800804CNA,CAPTA4230C3,$5,424.00,$4,339.20
S-GLZS4BA4810,GR9S800804CNA,CAPTA6030C3,$5,848.00,$4,678.40
S-GLZS4BA6010,GR9S801005CNA,CAPTA6030C3,$6,558.00,$5,246.40
S-GLZS4BA1810,GR9S800403ANA,CHPTA2426B3,$4,025.00,$3,220.00
S-GLZS4BA2410,GR9S800403ANA,CHPTA2426B3,$4,099.00,$3,279.20
S-GLZS4BA3010,GR9S800603ANA,CHPTA3026B3,$4,544.00,$3,635.20
S-GLZS4BA3610,GR9S800604BNA,CHPTA3630B3,$4,994.00,$3,995.20
S-GLZS4BA4210,GR9S800804CNA,CHPTA4230C3,$5,459.00,$4,367.20
S-GLZS4BA4810,GR9S800804CNA,CHPTA4830C3,$5,791.00,$4,632.80
S-GLZS4BA6010,GR9S801005CNA,CHPTA6030D3,$6,525.00,$5,220.00
S-GLXS4BA1810,GR9S920403ANA,CAPTA2422A3,$3,964.00,$3,171.20
S-GLXS4BA2410,GR9S920403ANA,CAPTA2422A3,$4,105.00,$3,284.00
S-GLXS4BA3010,GR9S920603BNA,CAPTA3626B3,$4,425.00,$3,540.00
S-GLXS4BA3610,GR9S920603BNA,CAPTA3626B3,$4,666.00,$3,732.80
S-GLXS4BA4210,GR9S920804CNA,CAPTA4230C3,$5,275.00,$4,220.00
S-GLXS4BA4810,GR9S920804CNA,CAPTA6030C3,$5,602.00,$4,481.60
S-GLXS4BA6010,GR9S921005CNA,CAPTA6030C3,$6,203.00,$4,962.40
S-GLXS4BA1810,GR9S920403ANA,CHPTA2426B3,$4,029.00,$3,223.20
S-GLXS4BA2410,GR9S920403ANA,CHPTA2426B3,$4,170.00,$3,336.00
S-GLXS4BA3010,GR9S920603BNA,CHPTA3026B3,$4,295.00,$3,436.00
S-GLXS4BA3610,GR9S920603BNA,CHPTA3630B3,$4,656.00,$3,724.80
S-GLXS4BA4210,GR9S920804CNA,CHPTA4230C3,$5,310.00,$4,248.00
S-GLXS4BA4810,GR9S920804CNA,CHPTA4830C3,$5,545.00,$4,436.00
S-GLXS4BA6010,GR9S921005CNA,CHPTA6030D3,$6,170.00,$4,936.00
S-GLZS4BA1810,GR9S920403ANA,CAPTA2422A3,$4,380.00,$3,504.00
S-GLZS4BA2410,GR9S920403ANA,CAPTA2422A3,$4,454.00,$3,563.20
S-GLZS4BA3010,GR9S920603BNA,CAPTA3626B3,$5,038.00,$4,030.40
S-GLZS4BA3610,GR9S920603BNA,CAPTA3626B3,$5,417.00,$4,333.60
S-GLZS4BA4210,GR9S920804CNA,CAPTA4230C3,$5,976.00,$4,780.80
S-GLZS4BA4810,GR9S920804CNA,CAPTA6030C3,$6,400.00,$5,120.00
S-GLZS4BA6010,GR9S921005CNA,CAPTA6030C3,$7,214.00,$5,771.20
S-GLZS4BA1810,GR9S920403ANA,CHPTA2426B3,$4,445.00,$3,556.00
S-GLZS4BA2410,GR9S920403ANA,CHPTA2426B3,$4,519.00,$3,615.20
S-GLZS4BA3010,GR9S920603BNA,CHPTA3026B3,$4,990.00,$3,992.00
S-GLZS4BA3610,GR9S920603BNA,CHPTA3630B3,$5,407.00,$4,325.60
S-GLZS4BA4210,GR9S920804CNA,CHPTA4230C3,$6,011.00,$4,808.80
